id,sha256,bucket,model,iso,compression,width,height,size_bytes
ref-00114.nef,779389367b78f473b9a7f84aeb518f827cd50c0bb900cf5c7e1883a041239474,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23525888
ref-00115.nef,cdcc7cdf14f47214ab0cbb4004ee870f9475fc7549a96738c54dc0bbf291a9d7,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23987712
ref-00116.nef,028d84fefbed50b1cb5810e1ae358a18eca14e96b43d98567adf3a94fb4c6862,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23633920
ref-00117.nef,8142ca10e81833de256348628ac235752f1c19a0cbb4cd6632fb5a9bb2b29af9,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23779328
ref-00118.nef,92fba41c35b345cd4ce14df47b27acc6c4b7660acda8cf45d33e3b28401f7e28,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23763456
ref-00119.nef,196defa277f42233aa7999e50d90f148b1dbf07122579184c31154233994c529,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23707648
ref-00120.nef,6e067bc15393ab3cf4efcacb9a0fb89145e24e6155a3f392198cbaeb848376cd,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23682560
ref-00121.nef,8d7365d8c8a7b3b7ce25bb9316955c182fdce683a7091b923ac51698950c4d98,z8,NIKON Z 8,6400,High Efficiency,8280,5520,24144896
ref-00122.nef,6993f8ea1c910120e82344db1e084c96868868a877c4ee7d17958a1a3d11e633,z8,NIKON Z 8,6400,High Efficiency,8280,5520,24066560
ref-00123.nef,661042bf015398fee5b97cbd6a3983706d739cfe661563d87c27e9bac72b8db8,z8,NIKON Z 8,6400,High Efficiency,8280,5520,24116224
ref-00124.nef,2fa6dec528e63d9a8b1c3ea41e3882c35d23f10b91f12901ffe2bfacf42d9911,z8,NIKON Z 8,6400,High Efficiency,8280,5520,24202752
ref-00125.nef,354a1990d814264b5569b4862653b4328e0a5cc19d154adff5809b5c62b65445,z8,NIKON Z 8,6400,High Efficiency,8280,5520,24065536
ref-00126.nef,77bc0adb55b857bc86bcbbf30a465a9880d2c2c9ea04a5ccaffb8cca661d661e,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23986176
ref-00127.nef,5e182a8a413ea7e9e7e8a305820814165bcde82e0ad76de836453118a54382cc,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23898624
ref-00128.nef,8aa3374d53f676257d42379e1db44d40f7e8593eb68cb33d09b0a393a3f74e5b,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23954944
ref-00129.nef,49038ec194ba468747d13b989556355a0f658ae0f7b87dd5ff76ac369db97a50,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23903232
ref-00130.nef,8637ee088c82957ab4bfa49084778e31476c1d17c05237760327c4c4025824b2,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23854592
ref-00131.nef,a88bd77c7a85bf0d4269f86bc8e8ad46d796868f8f5678463488eb033e688b6a,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23773184
ref-00132.nef,d50b302ffc862250e18a7c833cea548b9bd06557c3af3cef4dfc3b4076fceee9,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23764480
ref-00133.nef,afe517b796c98971a8d09f8c418c07cfd62c9c4adeaff3205ab0c013ad47bebf,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23613952
ref-00134.nef,ebd7d47202bdd1ab8b7c73f4385523925ec8d7a3880a5efbf5716b2ff1569e5e,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23685632
ref-00135.nef,004837c13c07f11308dc36e5db696e1308cf2a6ad747f5994048b9c3c83ef5db,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23822336
ref-00136.nef,2cc70e239c8813f649d1c3b07a18170602f4f7223b8f02b13c29dae11eb62e8f,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23660032
ref-00137.nef,18537810f954c375483f404b73f5774c855e6caa00a7feff09fb0b072e31bfdf,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23948288
ref-00138.nef,f5d85833e98a7b02f4577456f484e9373f9e25ea6f2f6825139df6c8afb3d9a9,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23701504
ref-00139.nef,98b8aa86d95e4802d7f9013b5853c3bf6e36ca63a9d7a0a00d909da18dfb3a26,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23831552
ref-00140.nef,2f5a4e8f307c1ac70d005ef3284d51b00a7588ed0622e0912d31fb5212e2a38d,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23484928
ref-00141.nef,f67cf40af826aef8eea0b924e1c2add48c35a5106a21f8cc8c6ad2ae4ee2c479,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23576064
ref-00142.nef,d0a405d920fcd0b54a3f92297f8fe52a5e8a6cb347997a599b0e57869b6864a9,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23703040
ref-00143.nef,1c9e7e3bdf0bb82f433b8bb69ac721d1d409668acd4c83f0f907e9b733812931,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23727616
ref-00144.nef,9a1582008c92a9959af2b1140e27486b6e59cbcb550354f6763edc8eb134dcda,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23557632
ref-00145.nef,c825d4f934c99686a43a947051e628a55b7b998f94bc178da06f8fb5a2704497,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23312896
ref-00146.nef,281b53bc2d5419dee52ad49342bf59f277f7ecd9e965d1da4ab53c3aae035693,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23367168
ref-00147.nef,68e44aeb15e0a0f1dcff213ed1ab01deefd3a26f23ffcb4af0c8cfe9f97a213b,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23752704
